phase,split,pde,candidate,test_type,subset_index,source_sample_id,hard_rank,zeta_obs_u,zeta_pde,clip_threshold,rel_l2_a,rel_l2_u,pde_residual_norm,metrics_path
tune,tune,poisson,obs_16x,smooth,1,866,3,5760000000.0,0.3,50.0,0.6376741528511047,0.08482112735509872,0.03897859528660774,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173819/metrics_per_sample.csv
tune,tune,poisson,obs_16x,smooth,2,761,5,5760000000.0,0.3,50.0,0.5610635876655579,0.06418078392744064,0.03741540387272835,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173819/metrics_per_sample.csv
tune,tune,poisson,obs_16x,smooth,3,820,7,5760000000.0,0.3,50.0,0.4792107045650482,0.0686797946691513,0.03560817986726761,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_16x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-173819/metrics_per_sample.csv
tune,tune,poisson,obs_32x,id,0,672,1,11520000000.0,0.3,50.0,0.5098294019699097,0.06267116218805313,0.05515512451529503,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174240/metrics_per_sample.csv
tune,tune,poisson,obs_32x,id,1,602,3,11520000000.0,0.3,50.0,0.40212148427963257,0.04617757722735405,0.035979803651571274,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174240/metrics_per_sample.csv
tune,tune,poisson,obs_32x,id,2,307,5,11520000000.0,0.3,50.0,0.36295631527900696,0.06274384260177612,0.0379006490111351,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174240/metrics_per_sample.csv
tune,tune,poisson,obs_32x,id,3,222,7,11520000000.0,0.3,50.0,0.41110706329345703,0.04345066845417023,0.03240068629384041,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174240/metrics_per_sample.csv
tune,tune,poisson,obs_32x,rough,0,787,1,11520000000.0,0.3,50.0,0.6589174866676331,0.09320265054702759,0.06818704307079315,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174314/metrics_per_sample.csv
tune,tune,poisson,obs_32x,rough,1,16,3,11520000000.0,0.3,50.0,0.6665282845497131,0.10122869908809662,0.045750658959150314,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174314/metrics_per_sample.csv
tune,tune,poisson,obs_32x,rough,2,163,5,11520000000.0,0.3,50.0,0.6337128281593323,0.11139287799596786,0.0486767515540123,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174314/metrics_per_sample.csv
tune,tune,poisson,obs_32x,rough,3,204,7,11520000000.0,0.3,50.0,0.6505798697471619,0.0912255197763443,0.060790713876485825,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174314/metrics_per_sample.csv
tune,tune,poisson,obs_32x,smooth,0,12,1,11520000000.0,0.3,50.0,0.6429687142372131,0.07908816635608673,0.05645953491330147,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174257/metrics_per_sample.csv
tune,tune,poisson,obs_32x,smooth,1,866,3,11520000000.0,0.3,50.0,0.5759444236755371,0.06503546983003616,0.040891438722610474,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174257/metrics_per_sample.csv
tune,tune,poisson,obs_32x,smooth,2,761,5,11520000000.0,0.3,50.0,0.4954931437969208,0.04991792142391205,0.03693413734436035,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174257/metrics_per_sample.csv
tune,tune,poisson,obs_32x,smooth,3,820,7,11520000000.0,0.3,50.0,0.4289613366127014,0.04961666464805603,0.03640006482601166,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_32x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174257/metrics_per_sample.csv
tune,tune,poisson,obs_64x,id,0,672,1,23040000000.0,0.3,50.0,0.4751966893672943,0.0504714660346508,0.058521728962659836,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174331/metrics_per_sample.csv
tune,tune,poisson,obs_64x,id,1,602,3,23040000000.0,0.3,50.0,0.3692466616630554,0.03737130016088486,0.041257645934820175,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174331/metrics_per_sample.csv
tune,tune,poisson,obs_64x,id,2,307,5,23040000000.0,0.3,50.0,0.33455219864845276,0.047651611268520355,0.039970532059669495,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174331/metrics_per_sample.csv
tune,tune,poisson,obs_64x,id,3,222,7,23040000000.0,0.3,50.0,0.37935569882392883,0.03494192659854889,0.03656966984272003,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174331/metrics_per_sample.csv
tune,tune,poisson,obs_64x,rough,0,787,1,23040000000.0,0.3,50.0,0.6397908926010132,0.07946012169122696,0.08168765902519226,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174404/metrics_per_sample.csv
tune,tune,poisson,obs_64x,rough,1,16,3,23040000000.0,0.3,50.0,0.6464457511901855,0.0839347392320633,0.05708383768796921,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174404/metrics_per_sample.csv
tune,tune,poisson,obs_64x,rough,2,163,5,23040000000.0,0.3,50.0,0.6141811609268188,0.09606358408927917,0.052159056067466736,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174404/metrics_per_sample.csv
tune,tune,poisson,obs_64x,rough,3,204,7,23040000000.0,0.3,50.0,0.6283591985702515,0.07835705578327179,0.08001400530338287,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/rough/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174404/metrics_per_sample.csv
tune,tune,poisson,obs_64x,smooth,0,12,1,23040000000.0,0.3,50.0,0.5966033935546875,0.061265137046575546,0.05753769725561142,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174348/metrics_per_sample.csv
tune,tune,poisson,obs_64x,smooth,1,866,3,23040000000.0,0.3,50.0,0.5260263085365295,0.04979182034730911,0.0446108914911747,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174348/metrics_per_sample.csv
tune,tune,poisson,obs_64x,smooth,2,761,5,23040000000.0,0.3,50.0,0.44740408658981323,0.038321446627378464,0.038191717118024826,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174348/metrics_per_sample.csv
tune,tune,poisson,obs_64x,smooth,3,820,7,23040000000.0,0.3,50.0,0.39319998025894165,0.03813418745994568,0.03805042430758476,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_64x/smooth/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-174348/metrics_per_sample.csv
tune,tune,poisson,obs_double,id,0,672,1,720000000.0,0.3,50.0,0.7503206133842468,0.16577032208442688,0.05183030292391777,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_double/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-132419/metrics_per_sample.csv
tune,tune,poisson,obs_double,id,1,602,3,720000000.0,0.3,50.0,0.6177095770835876,0.13275139033794403,0.03139612823724747,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_double/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-132419/metrics_per_sample.csv
tune,tune,poisson,obs_double,id,2,307,5,720000000.0,0.3,50.0,0.5881372690200806,0.2153046727180481,0.03902917355298996,/home/tat512/C01Python/FM4PDE/artifacts/inverse_hard_tuning/runs/tune/poisson/obs_double/id/offset-0-batch-4/poisson/inverse/obs_pde_endpoint_stochastic_constant_pdegate-s0.8-r0_global_norm50_random500_noise0_uniform100_euler_res-auto-K3-int1-w1_bc-dirichlet_zero-bcw1_epw1/20260830-132419/metrics_per_sample.csv
